system,firmware,fpga-version,value,1v0,tableName,SYSTEM_FIRMWARE,method,GET,1,access,GET,user,socketFilter,0,flags,GET,0,filter,dataType,NONE,dataType,STR,,,,,,,,,,,,,,,,,,,,,,
,,processor-version,value,1v1,tableName,SYSTEM_FIRMWARE,method,GET,2,access,GET,user,socketFilter,0,flags,GET,0,filter,dataType,NONE,dataType,STR,,,,,,,,,,,,,,,,,,,,,,
,,system-version,value,1v1,tableName,SYSTEM_FIRMWARE,method,GET,3,access,GET,user,socketFilter,0,flags,GET,0,filter,dataType,NONE,dataType,STR,,,,,,,,,,,,,,,,,,,,,,
,,hw-version,value,1v1,tableName,SYSTEM_FIRMWARE,method,GET,4,access,GET,user,socketFilter,0,flags,GET,0,filter,dataType,NONE,dataType,STR,,,,,,,,,,,,,,,,,,,,,,
,,processor-field-upgrade,value,SYSTEM_FIRMWARE_PROCESSOR-FIELD-UPGRADE,tableName,SYSTEM_FIRMWARE,method,POST,5,access,POST,admin,socketFilter,0,flags,POST,3,array,file_name,location,END,,,,,,,,,,,,,,,,,,,,,,,
,,,file_name,value,Dsp-image-name,tableName,SYSTEM_FIRMWARE_PROCESSOR-FIELD-UPGRADE,method,POST,5,access,POST,admin,socketFilter,0,flags,POST,1,filter,dataType,NONE,dataType,STR,,,,,,,,,,,,,,,,,,,,,
,,,location,value,Dsp-image-location,tableName,SYSTEM_FIRMWARE_PROCESSOR-FIELD-UPGRADE,method,POST,5,access,POST,admin,socketFilter,0,flags,POST,2,filter,dataType,NONE,dataType,STR,,,,,,,,,,,,,,,,,,,,,
,,fpga-field-upgrade,value,SYSTEM_FIRMWARE_FPGA-FIELD-UPGRADE,tableName,SYSTEM_FIRMWARE,method,POST,6,access,POST,admin,socketFilter,0,flags,POST,3,array,file_name,location,END,,,,,,,,,,,,,,,,,,,,,,,
,,,file_name,value,Dsp-image-name,tableName,SYSTEM_FIRMWARE_FPGA-FIELD-UPGRADE,method,POST,6,access,POST,admin,socketFilter,0,flags,POST,1,filter,dataType,NONE,dataType,STR,,,,,,,,,,,,,,,,,,,,,
,,,location,value,Dsp-image-location,tableName,SYSTEM_FIRMWARE_FPGA-FIELD-UPGRADE,method,POST,6,access,POST,admin,socketFilter,0,flags,POST,2,filter,dataType,NONE,dataType,STR,,,,,,,,,,,,,,,,,,,,,
,,fpga-upgrade-status,value,0,tableName,SYSTEM_FIRMWARE,method,GET,7,access,GET,user,socketFilter,0,flags,GET,0,filter,dataType,NONE,dataType,INTEGER,,,,,,,,,,,,,,,,,,,,,,
,,processor-upgrade-status,value,0,tableName,SYSTEM_FIRMWARE,method,GET,8,access,GET,user,socketFilter,0,flags,GET,0,filter,dataType,NONE,dataType,INTEGER,,,,,,,,,,,,,,,,,,,,,,
,,switch,value,1,tableName,SYSTEM_FIRMWARE,method,POST,9,access,POST,user,socketFilter,0,flags,POST,0,filter,LIST,dataType,NONE,LIST,0,1,END,dataType,INTEGER,,,,,,,,,,,,,,,,,
,,serial-no,value,AAA1BBB2CCC3DDD4,tableName,SYSTEM_FIRMWARE,method,GET,10,POST,11,access,GET,user,POST,admin,socketFilter,0,flags,GET,0,POST,0,filter,TYPE,dataType,NONE,TYPE,LENGTH16,END,dataType,STR,,,,,,,,,,,,
,network,ip-settings,value,SYSTEM_NETWORK_IP-SETTINGS,tableName,SYSTEM_NETWORK,method,GET,12,POST,13,access,GET,user,POST,user,socketFilter,0,flags,GET,7,POST,7,array,ip-addr,subnet-mask,gateway,END,,,,,,,,,,,,,,,,
,,,ip-addr,value,192.168.1.90,tableName,SYSTEM_NETWORK_IP-SETTINGS,method,GET,12,POST,13,access,GET,user,POST,user,socketFilter,0,flags,GET,1,POST,1,filter,TYPE,dataType,NONE,TYPE,IPAddress,END,dataType,STR,,,,,,,,,,,
,,,subnet-mask,value,255.255.255.0,tableName,SYSTEM_NETWORK_IP-SETTINGS,method,GET,12,POST,13,access,GET,user,POST,user,socketFilter,0,flags,GET,2,POST,2,filter,TYPE,dataType,NONE,TYPE,IPAddress,END,dataType,STR,,,,,,,,,,,
,,,gateway,value,0.0.0.0,tableName,SYSTEM_NETWORK_IP-SETTINGS,method,GET,12,POST,13,access,GET,user,POST,user,socketFilter,0,flags,GET,4,POST,4,filter,TYPE,dataType,NONE,TYPE,IPAddress,END,dataType,STR,,,,,,,,,,,
,,tos,value,7,tableName,SYSTEM_NETWORK,method,GET,14,POST,15,access,GET,user,POST,user,socketFilter,0,flags,GET,0,POST,0,filter,MIN,MAX,dataType,NONE,MIN,0,MAX,7,dataType,INTEGER,,,,,,,,,,
,,mtu-size,value,1400,tableName,SYSTEM_NETWORK,method,GET,16,POST,17,access,GET,user,POST,user,socketFilter,0,flags,GET,0,POST,0,filter,MIN,MAX,dataType,NONE,MIN,64,MAX,1500,dataType,INTEGER,,,,,,,,,,
,,mode,value,2,tableName,SYSTEM_NETWORK,method,GET,18,POST,19,access,GET,user,POST,user,socketFilter,0,flags,GET,0,POST,0,filter,LIST,dataType,NONE,LIST,1,2,3,END,dataType,INTEGER,,,,,,,,,,
,,notify-ip-addr,value,192.168.0.77,tableName,SYSTEM_NETWORK,method,GET,20,POST,21,access,GET,user,POST,user,socketFilter,1,flags,GET,0,POST,0,filter,TYPE,dataType,NONE,TYPE,IPAddress,END,dataType,STR,action,NOTIFY_IP,,,,,,,,,,
,,notify-port,value,SYSTEM_NETWORK_NOTIFY-PORT,tableName,SYSTEM_NETWORK,method,GET,22,POST,23,access,GET,user,POST,user,socketFilter,1,flags,GET,1,POST,1,array,port,END,action,NOTIFY_PORT,,,,,,,,,,,,,,,,
,,,port,value,9999,tableName,SYSTEM_NETWORK_NOTIFY-PORT,method,GET,22,POST,23,access,GET,user,POST,user,socketFilter,1,flags,GET,1,POST,1,filter,dataType,NONE,dataType,INTEGER,action,NOTIFY_PORT,,,,,,,,,,,,,
